,TEST DATASET,Introduction,Summary
893,894,"Amlovas-AT 25 Tablet is used to treat hypertension (high blood pressure). This is a combination of two medicines that controls blood pressure when a single medication is not effective. It helps to lower high blood pressure and thus reduces the chances of future heart attack and stroke.You can take Amlovas-AT 25 Tablet at any time of day, on empty stomach, but it is best to take it at the same time each day. Keep taking it for as long as advised by your doctor. Even if you feel well, do not stop this medicine on your own because high blood pressure often has no symptoms. If you stop taking it, your condition may get worse. Keeping active with regular exercise, reducing your weight and eating a healthy diet will also help control your blood pressure. Follow your doctor’s advice while taking this medicine.It may cause side effects like headache, ankle swelling, slow heart rate, and nausea. It may also cause dizziness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. This might raise the level of potassium in the blood, hence avoid potassium rich food or supplements. You may be asked for regular monitoring of blood pressure, kidney function, and electrolytes level while on the treatment.Before taking it, let your doctor know if you have any liver or kidney problems. Pregnant or breastfeeding women should also consult their doctor for advice before taking this medicine. You also need to tell your doctor what other medicines you are taking especially those used to treat high blood pressure or heart conditions.","Pregnant or breastfeeding women should also consult their doctor for advice before taking this medicine.This might raise the level of potassium in the blood, hence avoid potassium rich food or supplements.Keep taking it for as long as advised by your doctor."
894,895,"Azulix 3 MF Forte Tablet PR belongs to a category of medicines known as anti-diabetic drugs. It is a combination of two medicines used to treat type 2 diabetes mellitus in adults. It helps control blood sugar levels in people with diabetes.Azulix 3 MF Forte Tablet PR should be taken with food. Take it regularly at the same time each day to get the most benefit. Your doctor will decide what dose is best for you and this may change from time to time according to how it is working according to your blood sugar levels.Keep taking this medicine, even if you feel well or your blood sugar levels are controlled. If you stop it without consulting your doctor, your blood sugar levels could rise and put you at risk of kidney damage, blindness, nerve problems and loss of limbs. Remember that it is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor. Your lifestyle plays a big part in controlling diabetes.The most common side effect of Azulix 3 MF Forte Tablet PR is low blood glucose levels (hypoglycemia). Make sure you recognize the signs of having low blood glucose levels, such as sweating, dizziness, headache, and shaking and know how to deal with it. To prevent this, it's important to have regular meals and always carry a fast-acting source of glucose such as sugary food or fruit juice with you. Drinking alcohol can also increase your risk of low blood sugar levels and should be avoided. Other side effects that may be seen on taking this medicine include taste changes, nausea, diarrhea, stomach pain, headache and upper respiratory tract infection. Some people may find that they put on weight with this medicine.You should not take it if you have type 1 diabetes mellitus, if you have diabetic ketoacidosis (high levels of acid in your blood), or if you have severe kidney or liver disease. Before taking this medicine, tell your doctor if you have ever had heart disease. It may not be suitable. Pregnant or breastfeeding women should also consult their doctor before taking it. Your blood sugar levels should be checked regularly and your doctor may also advise blood tests to monitor your blood cell counts and liver function.",It may not be suitable.Azulix 3 MF Forte Tablet PR belongs to a category of medicines known as anti-diabetic drugs.Pregnant or breastfeeding women should also consult their doctor before taking it.
895,896,"Acimol Forte 100 mg/325 mg/15 mg Tablet is a combination medicine used to relieve pain and swelling in various conditions like muscle pain, joint pain and postoperative pain. Thus, it effectively alleviates pain and inflammation in conditions like rheumatoid arthritis, ankylosing spondylitis and osteoarthritis.Acimol Forte 100 mg/325 mg/15 mg Tablet should be taken in the dose and duration as advised by your doctor. It should be taken with food or milk to prevent stomach upset. Taking the medicine regularly at the right times increases its effectiveness. It is important to keep taking the medicine regularly until your doctor tells you it is safe to stop.Nausea, vomiting, stomach pain, indigestion, heartburn, loss of appetite and diarrhea are some of the common side effects that might be observed on taking this medicine. Your doctor may regularly monitor your kidney function, liver function, and levels of blood components if you are taking this medicine for long-term treatment. Long-term use may lead to serious complications such as stomach bleeding and kidney problems. Acimol Forte 100 mg/325 mg/15 mg Tablet is not recommended if you are pregnant or breastfeeding.","Acimol Forte 100 mg/325 mg/15 mg Tablet is not recommended if you are pregnant or breastfeeding.It should be taken with food or milk to prevent stomach upset.Thus, it effectively alleviates pain and inflammation in conditions like rheumatoid arthritis, ankylosing spondylitis and osteoarthritis.Acimol Forte 100 mg/325 mg/15 mg Tablet should be taken in the dose and duration as advised by your doctor."
896,897,"Anxipam 0.5mg Tablet MD is a prescription medicine used to treat epilepsy (seizures), panic and anxiety disorder. It helps to decrease the abnormal and excessive activity of the nerve cells and calms the brain.Anxipam 0.5mg Tablet MD may be taken with or without food. However, take it at the same time each day as this helps to maintain a consistent level of medicine in the body. Take this medicine in the dose and duration as advised by your doctor as it has a high potential of habit-forming. If you have missed a dose, take it as soon as you remember it and finish the full course of treatment even if you feel better. You should not stop this medicine suddenly without talking to your doctor as it may increase the seizure frequency and can cause nausea, anxiety, flu-like symptoms, and muscle pain.Some common side effects of this medicine include fatigue, depression and impaired coordination. It may also cause dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. It is important to inform your doctor if you develop any unusual changes in mood or depression as this medicine may cause suicidal thoughts.","Anxipam 0.5mg Tablet MD is a prescription medicine used to treat epilepsy (seizures), panic and anxiety disorder.If you have missed a dose, take it as soon as you remember it and finish the full course of treatment even if you feel better.It helps to decrease the abnormal and excessive activity of the nerve cells and calms the brain.Anxipam 0.5mg Tablet MD may be taken with or without food."
897,898,"Arifine 2.5 Tablet is an antipsychotic medicine. It is used in the treatment of schizophrenia (a mental disorder that can result in hallucinations or delusions and also adversely affects a person’s ability to think and behave) and mania. It can also be used to treat depression and bipolar disorders.Arifine 2.5 Tablet may be taken with or without food, preferably in the morning. However, it is advised to take it at the same time each day as this helps to maintain a consistent level of medicine in the body. The dose and how often you need it will be decided by your doctor so that you get the right amount to control your symptoms. It may be increased gradually. It may take a few weeks before you start to feel better. Do not skip any doses and finish the full course of treatment even if you feel better. It is important that this medication is not stopped suddenly without talking to your doctor as this can worsen your symptoms.Some common side effects of this medicine include headache, fatigue, nausea, vomiting and blurred vision. It also causes dizziness and sleepiness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. Please consult your doctor if these side effects do not resolve or worsen.This medicine may increase your blood sugar and cholesterol levels. However, modifying your lifestyle by having a healthy diet and exercising regularly can reduce this side effect. your doctor will monitor your blood sugar and cholesterol levels periodically while you are taking this medication. Inform your doctor if you develop any unusual changes in mood or behavior, new or worsening depression, or suicidal thoughts while taking this medicine. Before taking the medicine you should tell your doctor if you are pregnant, planning to become pregnant, or breastfeeding. You should avoid drinking alcohol as it may increase some side effects.","Arifine 2.5 Tablet is an antipsychotic medicine.It may be increased gradually.Before taking the medicine you should tell your doctor if you are pregnant, planning to become pregnant, or breastfeeding."
898,899,"ATM XL 100mg/5ml Syrup is an antibiotic used to treat various types of bacterial infections of the respiratory tract, ear, nose, throat, lungs, skin, and eye in adults and children. It is also effective in typhoid fever and some sexually transmitted diseases like gonorrhea.ATM XL 100mg/5ml Syrup is a broad-spectrum type of antibiotic effective in killing many types of gram-positive bacteria, some types of gram-negative bacteria and other microorganisms. This medicine is taken orally, preferably either one hour before or 2 hours after a meal. It should be used regularly at evenly spaced time intervals as prescribed by your doctor. Do not skip any doses and finish the full course of treatment even if you feel better. Stopping the medicine too early may lead to the return or worsening of the infection.Commonly seen side effects seen with this medicine include vomiting, nausea, stomach pain, and diarrhea. These are usually temporary and subside with the completion of treatment. Consult your doctor if you find these side effects worry you or persist for a longer duration.Inform your doctor if you have any previous history of allergy or heart problems before taking this medicine. Pregnant or breastfeeding women should consult their doctor before using this medicine.","These are usually temporary and subside with the completion of treatment.ATM XL 100mg/5ml Syrup is an antibiotic used to treat various types of bacterial infections of the respiratory tract, ear, nose, throat, lungs, skin, and eye in adults and children.Pregnant or breastfeeding women should consult their doctor before using this medicine."
899,900,"Amlogard 2.5mg Tablet belongs to a class of medicines known as a calcium channel blockers. It is used to treat high blood pressure (hypertension) and prevent angina (heart-related chest pain). It lowers blood pressure and reduces the workload of the heart which helps in preventing heart attacks and strokes.Amlogard 2.5mg Tablet may be prescribed alone or along with other medicines. The dose depends on what you are taking it for and the severity of your condition. You can take it at any time of the day, with or without food, but it is best to take it at the same time each day. You should take this medicine for as long as it is prescribed for you. Even if you feel well, do not stop this medicine on your own because high blood pressure often has no symptoms. If you stop taking it, your condition may get worse. Keeping yourself active with regular exercise, reducing your weight, and eating a healthy diet will also help control your blood pressure. Follow your doctor’s advice while taking this medicine.The most common side effects include fatigue, swelling in the feet or ankles, sleepiness, dizziness, flushing, headache, and unusual beating of the heart (palpitations). Consult your doctor if any of these side effects bother you or do not go away.Before taking it, let your doctor know if you have any liver, heart or kidney problems. Pregnant or breastfeeding women should also consult their doctor for advice before taking this medicine. You also need to tell your doctor what other medicines you are taking, especially those used to treat high blood pressure or heart conditions. You should have your blood pressure checked regularly to make sure that this medicine is working properly.",Amlogard 2.5mg Tablet belongs to a class of medicines known as a calcium channel blockers.The dose depends on what you are taking it for and the severity of your condition.Pregnant or breastfeeding women should also consult their doctor for advice before taking this medicine.
900,901,"Aspisol 150 Tablet is a combination of two medicine used for prevention of heart attack and stroke. It also prevents clot formation in the blood vessels.Aspisol 150 Tablet should be taken with food regularly at a fixed time each day. You should take it regularly at evenly spaced intervals as per the schedule prescribed by your doctor. Taking it at the same time every day will help you remember to take it. The dose and duration of treatment will depend on what you are being treated for. Do not stop taking it until you have finished the complete course, even when you feel better. Lifestyle changes like low-fat diet, exercise and not smoking may help this medicine to work better.Indigestion and diarrhea are some common side effects of this medicine. This medicine increases your risk of bleeding, so it is important to be careful while shaving, cutting nails and using sharp objects. Usually, it is advisable to avoid alcohol intake while taking this medicine.Before taking this medicine, tell your doctor if you have any liver or kidney disease. You must tell your doctor if you are pregnant, planning pregnancy or breastfeeding. You should also let your healthcare team know all other medicines you are taking as they may affect, or be affected by this medicine.","The dose and duration of treatment will depend on what you are being treated for.You should take it regularly at evenly spaced intervals as per the schedule prescribed by your doctor.You must tell your doctor if you are pregnant, planning pregnancy or breastfeeding."
901,902,"Aretha Tablet belongs to a group of medicines called immunosuppressants. It is used with other medicines to prevent your body rejecting an organ (such as a kidney, heart or liver) after a transplant. It is also used in the treatment of treat rheumatoid arthritis.Aretha Tablet works by weakening the body’s immune system, so it does not attack the new organ. The amount of medicine to be taken and how often you need to take it will depend on the type of transplant you have. Follow your doctor’s instructions on this. You should take it along with food. Swallow it as a whole,  do not crush, chew, break, or open them. Take the medicine regularly to get the most benefit and keep taking it even if you feel well. If you stop taking it, you may increase the chances of rejecting your transplanted organ. The treatment will continue for as long as you need it to prevent rejection.It has many potential side effects. The most common are loss of appetite, nausea and increased risk of bleeding. Because it suppresses your immune system, you may catch more infections than usual. There’s also an increased risk of developing some cancers for this reason. To reduce your risk of skin cancer, limit your exposure to the sun and use a protective cream. There is a long list of potential side effects. You should ask your doctor about them and what signs to look out for because some can be serious and need urgent medical attention.Aretha Tablet can cause birth defects and miscarriages so do not take it if you are pregnant, planning to become pregnant or breastfeeding. You should talk to your doctor before taking this medicine if you have any signs of infection or if you have any unexpected bruising or bleeding. Your doctor also needs to know what other medicines you are taking as there are many which interact with this medicine and affect the way it works. You will have regular tests to check for any changes in the number of your blood cells.","Swallow it as a whole,  do not crush, chew, break, or open them.Follow your doctor’s instructions on this.Aretha Tablet belongs to a group of medicines called immunosuppressants."
902,903,"Azac 20% Cream is a topical medication used in the treatment of acne (pimples). It effectively relieves symptoms such as lumps, redness and swelling associated with different forms of acne by killing the acne causing bacteria.Azac 20% Cream is for external use only. You should always use it exactly as your doctor has told you. The affected area should be clean and dry before application. You must wash your hands thoroughly before and after applying this medicine. This medicine should be used regularly to get the most benefit from it. Do not use more than you need as it will not clear your condition faster and some side effects may be increased. If your condition goes on for longer than four weeks or gets worse at any time, let your doctor know. You can help this medicine work better by keeping the affected areas clean.Azac 20% Cream has a few potential side effects but not everyone will get them. These may include application site reactions like burning, irritation, itching, and redness. Serious allergic reaction to this drug is rare but let your doctor know if you’re bothered by side effects or they do not go away. Make sure you read the instructions that come with your medicine. Avoid contact with eyes. In case of accidental contact, you should rinse eyes thoroughly with water.If you are pregnant, breastfeeding, or plan to become pregnant, you should consult your doctor before using this medicine as it may cause side effects that could be harmful to the developing baby.",Azac 20% Cream is a topical medication used in the treatment of acne (pimples).The affected area should be clean and dry before application.Avoid contact with eyes.
903,904,"Amlovas-L Tablet is used to treat hypertension (high blood pressure). This is a combination of two medicines that controls blood pressure when a single medication is not effective. It helps to lower high blood pressure and thus reduces the chances of future heart attack and stroke.You can take Amlovas-L Tablet at any time of day, with or without food, but it is best to take it at the same time each day. Keep taking it for as long as advised by your doctor. Even if you feel well, do not stop this medicine on your own because high blood pressure often has no symptoms. If you stop taking it, your condition may get worse. Keeping active with regular exercise, reducing your weight and eating a healthy diet will also help control your blood pressure. Follow your doctor’s advice while taking this medicine.It may cause side effects like ankle swelling, headache, cough, weakness, and tiredness. It may also cause dizziness, so do not drive or do anything that requires mental focus until you know how this medicine affects you. This might raise the level of potassium in the blood, hence avoid potassium rich food or supplements. You may be asked for regular monitoring of blood pressure, kidney function, and electrolytes level while on the treatment.Before taking it, let your doctor know if you have any liver or kidney problems. Pregnant or breastfeeding women should also consult their doctor for advice before taking this medicine. You also need to tell your doctor what other medicines you are taking especially those used to treat high blood pressure or heart conditions.","Pregnant or breastfeeding women should also consult their doctor for advice before taking this medicine.This might raise the level of potassium in the blood, hence avoid potassium rich food or supplements.Amlovas-L Tablet is used to treat hypertension (high blood pressure)."
904,905,"Azeflo FT Nasal Spray is a combination medicine used in the treatment of allergy symptoms such as runny nose, stuffy nose, sneezing, watery eyes and congestion or stuffiness.Azeflo FT Nasal Spray should be used as you have been advised by your doctor. Do not use it more often or for longer than recommended. Normally you should blow your nose gently before using it, keep one nostril closed while applying the medicine into the other and then sniff hard to make sure it reaches deep into the nose. Then repeat for the other nostril. It provides relief very quickly and can last for several hours. If you use this medicine too often or for too long, it may worsen your symptoms rather than improve them.The most common side effects are taste change, nosebleeds, and headaches. Most of these are temporary and usually resolve with time. Contact your doctor straight away if you are at all concerned about any of these side effects.Never support self-medication or recommend your medicine to another person. It is beneficial to have plenty of fluids while taking this medication. Before you start taking this medicine it is important to inform your doctor if you are suffering from liver or kidney disease. You should also tell your doctor if you are pregnant, planning pregnancy or breastfeeding.","Then repeat for the other nostril.Azeflo FT Nasal Spray is a combination medicine used in the treatment of allergy symptoms such as runny nose, stuffy nose, sneezing, watery eyes and congestion or stuffiness.Azeflo FT Nasal Spray should be used as you have been advised by your doctor.You should also tell your doctor if you are pregnant, planning pregnancy or breastfeeding."
905,906,"Ambistryn-S 1gm Injection is an antibiotic used in the treatment of tuberculosis, in combination with other medicines. It works by stopping the growth of tubercular bacteria. Rarely, it may also be used to treat some other types of infections.Ambistryn-S 1gm Injection is given as an injection directly into a muscle under the supervision of a healthcare professional. It should be used regularly as prescribed by your doctor. Do not skip any doses and finish the full course of treatment even if you feel better. Stopping the medicine too early may lead to the infection returning or worsening.This medicine may cause skin rash, vomiting, fever and vertigo as side effects of this medicine. Therefore, please follow all the instructions given by your doctor while using this medicine. Your doctor may monitor you with regular kidney function tests, hearing tests and urine tests during treatment. Consult your doctor if your condition does not improve or if any of the side effects bother you.Use caution while driving or doing anything that requires concentration as this medicine may cause dizziness. It is not recommended for use during pregnancy. Inform your doctor if you are pregnant, planning to conceive, or breastfeeding.","Inform your doctor if you are pregnant, planning to conceive, or breastfeeding.It works by stopping the growth of tubercular bacteria.Ambistryn-S 1gm Injection is an antibiotic used in the treatment of tuberculosis, in combination with other medicines."
906,907,"ANALGIN 500MG TABLET helps in relieving pain, inflammation and fever. It effectively alleviates pain and helps to reduce fever.ANALGIN 500MG TABLET should be taken in the dose and duration as advised by your doctor. It should be taken with food or milk to prevent stomach upset. Inform your doctor if you have any history of heart disease or stroke.Vomiting, stomach pain, nausea and diarrhea are some of the common side effects that might be observed on taking this medicine. It may also cause dizziness, drowsiness or visual disturbances. Your doctor may regularly monitor your kidney function, liver function and levels of blood components, if you are taking this medicine for long-term treatment. Long term use may lead to serious complications such as stomach bleeding and kidney problems.","It may also cause dizziness, drowsiness or visual disturbances.ANALGIN 500MG TABLET helps in relieving pain, inflammation and fever.It should be taken with food or milk to prevent stomach upset."
907,908,"Ambrolite 30 Tablet is used for treating various respiratory tract disorders associated with excessive mucus. It works by thinning and loosens mucus in the nose, windpipe and lungs and make it easier to cough out.Ambrolite 30 Tablet should be taken with food. For better results, it is suggested to take it at the same time every day.  The dose and how often you take it depends on what you are taking it for. Your doctor will decide how much you need to improve your symptoms.  It is advised not to use it for more than 14 days without doctor consultation.The most common side effects of this medicine include vomiting, nausea, and stomach upset. Talk to your doctor if you are worried about side effects or they would not go away. Generally, it is advised not to take alcohol while on treatment.Before taking this medicine, tell your doctor if you have liver or kidney disease or if you have stomach problems. Your doctor should also know about all other medicines you are taking as many of these may make this medicine less effective or change the way it works. You must take doctor's advice before using this medicine if you are pregnant or breastfeeding.","Ambrolite 30 Tablet is used for treating various respiratory tract disorders associated with excessive mucus.It works by thinning and loosens mucus in the nose, windpipe and lungs and make it easier to cough out.Ambrolite 30 Tablet should be taken with food.For better results, it is suggested to take it at the same time every day."
908,909,"Acnestar Gel is a combination medicine that is used to treats acne. It minimizes excessive oil production, thus reduces inflammation. It also prevents the growth of the microorganisms that cause acne. This also helps to prevent pimples, blackheads, and whiteheads on the skin.Acnestar Gel is only meant for external use and should be used as advised by your doctor. A thin layer of the medicine should be applied only to the affected areas of the skin with clean and dry hands. Wash your hands before and after applying the medicine. If it gets into your eyes, nose, mouth, or vagina rinse with water. It may take several days to weeks for your symptoms to improve, but you should keep using this medicine regularly. The course of the treatment should be completed to ensure better efficacy of the medicine. If your condition does not improve or gets worse, you should talk to your doctor.This is usually a safe medicine, however, it may cause dryness, peeling, redness, and burning sensation at the application site. These side effects are usually mild and self-limiting. Most of these side effects can be prevented by using a skin moisturizer and drinking plenty of water. Serious side effects are rare. You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before using this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases. Pregnant and breastfeeding women should use this medicine with proper consultation and caution. If you are a known allergic to the medicine, you must refrain from using this medicine and consult your doctor. During the course of the treatment, do not touch, prick or scratch the infected skin areas as this may worsen or spread the acne. Avoid unnecessary sun exposure and use a sunscreen before stepping out in the sun. It is also advised, not to receive any cosmetic procedures without asking your doctor.","If it gets into your eyes, nose, mouth, or vagina rinse with water.It minimizes excessive oil production, thus reduces inflammation.You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc."
909,910,"Aztor 80 Tablet belongs to a group of medicines called statins. It is used to lower cholesterol and to reduce the risk of heart disease. Cholesterol is a fatty substance that builds up in your blood vessels and causes narrowing, which may lead to a heart attack or stroke.Aztor 80 Tablet is a widely prescribed medicine and is regarded as safe for long-term use when taken as per doctor's advice. It can be taken with a meal or on an empty stomach. You can take it at any time of the day but try to take it at the same time each day. Most people with high cholesterol do not feel ill, but stopping your medicine may increase your cholesterol levels, making your condition worse and increasing your risk of heart disease and stroke.It is important to have your cholesterol levels checked regularly. This medicine is only one part of the treatment program which should also include a healthy diet, regular exercise, smoking cessation, moderation of alcohol intake and weight reduction. You can eat normally while taking this medicine, but try to avoid foods that are high in fat. Common side effects of this medicine include constipation, flatulence, dyspepsia, and abdominal pain. These are usually mild and disappear after a short time. Consult your doctor if they persist or if you notice any yellowing of your eyes or get repeated or unexplained muscle pains. This medicine should not be used in some conditions such as liver disease. Also, pregnant women and breastfeeding mothers should not take this medicine as it may harm the developing baby. Diabetic patients should monitor their blood sugar levels while taking this medicine, as it may lead to an increase in blood sugar levels. Your doctor may check your liver function before starting the treatment and monitor it regularly thereafter.","Aztor 80 Tablet belongs to a group of medicines called statins.Common side effects of this medicine include constipation, flatulence, dyspepsia, and abdominal pain.It can be taken with a meal or on an empty stomach."
910,911,"Althrocin 100mg Drop is an antibiotic used to treat various types of infections. It is effective in most infections of the respiratory tract, ear, nose, throat, lungs, and skin. It stops the bacteria from growing, which helps to resolve the symptoms and cures the infection.Althrocin 100mg Drop is taken orally, preferably either one hour before or 2 hours after a meal. It is best absorbed when taken on an empty stomach. It should be used regularly at evenly spaced time intervals as prescribed by your doctor. Do not skip any doses and finish the full course of treatment even if you feel better. Stopping the medicine too early may lead to the infection returning or worsening.Commonly seen side effects seen with this medicine include vomiting, nausea, pain in the abdomen and diarrhea. These are usually temporary and subside with the completion of treatment. Consult your doctor if you find these side effects do not resolve or persist for a longer duration.Inform your doctor if you have any previous history of allergy or heart problems before taking this medicine. Pregnant or breastfeeding women should consult their doctor before using this medicine.","It is effective in most infections of the respiratory tract, ear, nose, throat, lungs, and skin.Pregnant or breastfeeding women should consult their doctor before using this medicine.These are usually temporary and subside with the completion of treatment."
911,912,"Adcef Insta Use  Syrup is an antibiotic medicine used to treat a variety of bacterial infections. It is effective in infections of the respiratory tract (eg. pneumonia), urinary tract, ear, nasal sinus, throat, and some sexually transmitted diseases.Adcef Insta Use  Syrup may be taken with or without food. You should take it regularly at evenly spaced intervals as per the schedule prescribed by your doctor. Taking it at the same time every day will help you to remember to take it. The dose will depend on what you are being treated for, but you should always complete a full course of this antibiotic as prescribed by your doctor. Do not stop taking it until you have finished, even when you feel better. If you stop taking it early, some bacteria may survive and the infection may come back. It will not work for viral infections such as flu or the common cold. Using any antibiotic when you do not need it can make it less effective for future infections.The most common side effects of this medicine include rash, allergic reaction, nausea, and diarrhea. These are usually mild but let your doctor know if they bother you or last more than a few days. Before using it, you should tell your doctor if you are allergic to any antibiotics or have any kidney or liver problems. You should also let your healthcare team know all other medicines you are taking as they may affect, or be affected by, this medicine. Pregnant and breastfeeding mothers should consult their doctor before using it. Avoid consuming alcohol while taking this medicine as it may cause unpleasant side effects like nausea, vomiting, sweating, anxiety, and palpitations.",It is effective in infections of the respiratory tract (eg.Pregnant and breastfeeding mothers should consult their doctor before using it.You should take it regularly at evenly spaced intervals as per the schedule prescribed by your doctor.
912,913,"Acklogal-SP Tablet is a combination medicine used to relieve pain and swelling in various conditions like muscle pain, joint pain and postoperative pain. Thus, it effectively alleviates pain and inflammation in conditions like rheumatoid arthritis, ankylosing spondylitis and osteoarthritis.Acklogal-SP Tablet should be taken in the dose and duration as advised by your doctor. It should be taken with food or milk to prevent stomach upset. Taking the medicine regularly at the right times increases its effectiveness. It is important to keep taking the medicine regularly until your doctor tells you it is safe to stop.Nausea, vomiting, stomach pain, indigestion, heartburn, loss of appetite and diarrhea are some of the common side effects that might be observed on taking this medicine. Your doctor may regularly monitor your kidney function, liver function, and levels of blood components if you are taking this medicine for long-term treatment. Long-term use may lead to serious complications such as stomach bleeding and kidney problems. Acklogal-SP Tablet is not recommended if you are pregnant or breastfeeding.","Acklogal-SP Tablet is not recommended if you are pregnant or breastfeeding.It should be taken with food or milk to prevent stomach upset.Thus, it effectively alleviates pain and inflammation in conditions like rheumatoid arthritis, ankylosing spondylitis and osteoarthritis.Acklogal-SP Tablet should be taken in the dose and duration as advised by your doctor."
913,914,"Alphagan Ophthalmic Solution is used in the treatment of ocular hypertension (pressure in the eye) and glaucoma. It helps to lower high pressure in the eye and reduces the risk of vision loss. This medicine may be used alone or in combination with another eye drop that reduces pressure in the eye.Alphagan Ophthalmic Solution is for external use only. Use it in the dose and duration as advised by the doctor. If you wear contact lenses, remove them before using the medication. Avoid touching the tip of the dropper to any surface as it may contaminate the eye drop. For best results, use it daily in the evening or at night.The common side effects include burning sensation, itching, or temporary blurring of the eyes. If they persist or worsen, inform your doctor.  If these side effects persist for a longer duration, please inform your doctor. Caution is advised for driving after administration of this injection if your eyes are not able to concentrate and react.","If they persist or worsen, inform your doctor.Alphagan Ophthalmic Solution is used in the treatment of ocular hypertension (pressure in the eye) and glaucoma.Avoid touching the tip of the dropper to any surface as it may contaminate the eye drop."
914,915,"Altraflam-P Tablet is a pain relieving medicine. It is used to reduce pain and inflammation in conditions like rheumatoid arthritis, ankylosing spondylitis, and osteoarthritis. It may also be used to relieve muscle pain, back pain, toothache, or pain in the ear and throat.Altraflam-P Tablet should be taken with or without food. You should take it regularly as advised by your doctor. Your doctor may change the dose and time between doses according to your pain level and your needs. Do not take more or use it for a longer duration than recommended by your doctor.Some of the common side effects of this medicine include nausea, vomiting, stomach pain, loss of appetite, heartburn, and diarrhea. If any of these side effects bother you or do not go away with time, you should let your doctor know. Your doctor may help you with ways to reduce or prevent these side effects by prescribing an alternative medicine or adjusting the dose.The medicine may not be suitable for everybody. Before taking it, let your doctor know if you have any problems with your heart, kidneys, liver, or have stomach ulcers. To make sure it is safe for you, let your doctor know about all the other medicines you are taking. Pregnant and breastfeeding mothers should first consult their doctors before using this medicine.","It is used to reduce pain and inflammation in conditions like rheumatoid arthritis, ankylosing spondylitis, and osteoarthritis.Altraflam-P Tablet is a pain relieving medicine.You should take it regularly as advised by your doctor."
915,916,"Apidra Solostar 100IU/ml Injection is used for the treatment of blood sugar control in people with type 1 and type 2 diabetes mellitus. It is a fast-acting type of insulin that helps to lower blood sugar levels after meals and reduce the chances of developing serious complications of diabetes.Apidra Solostar 100IU/ml Injection is normally prescribed along with a long-acting type of insulin or other diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. It should be taken 15 minutes before a meal or within 20 minutes after starting a meal. Do not stop taking it unless your doctor tells you to. It is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.The most common side effect of this medicine is low blood sugar levels (hypoglycemia). To prevent this, it is important to always inject the correct dose of medicine only, have regular meals (do not skip), and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include allergy at the injection site like redness, swelling, or hard lumps (lipodystrophy). Some people may also gain weight while taking insulin.Do not use this medicine when you have low blood sugar levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should consult their doctor before using it.",It should be taken 15 minutes before a meal or within 20 minutes after starting a meal.Pregnant or breastfeeding women should consult their doctor before using it.Do not stop taking it unless your doctor tells you to.
916,917,"Atormac Gold 10 Capsule is used for prevention of heart attack. It is a combination of medicines that prevent clot formation in the blood vessels. It also helps to reduce increased cholesterol and triglycerides levels.Atormac Gold 10 Capsule should be taken with food regularly at a fixed time each day. You should take it regularly at evenly spaced intervals as per the schedule prescribed by your doctor. Taking it at the same time every day will help you remember to take it. The dose and duration of treatment will depend on what you are being treated for. Do not stop taking it until you have finished the complete course, even when you feel better. Lifestyle changes like low-fat diet, exercise and not smoking may help this medicine to work better.Abdominal pain, indigestion, bruising, and nosebleeds are some common side effects of this medicine. This medicine increases your risk of bleeding, so it is important to be careful while shaving, cutting nails and using sharp objects. Let your doctor know if you notice muscle symptoms (pain or weakness), yellowing of skin, and dark urine. Usually, it is advisable to avoid alcohol intake while taking this medicine.Before taking this medicine, tell your doctor if you have any liver or kidney disease. You must tell your doctor if you are pregnant, planning pregnancy or breastfeeding. You should also let your healthcare team know all other medicines you are taking as they may affect, or be affected by this medicine.","It is a combination of medicines that prevent clot formation in the blood vessels.You should take it regularly at evenly spaced intervals as per the schedule prescribed by your doctor.You must tell your doctor if you are pregnant, planning pregnancy or breastfeeding."
